Ticker,Company,Industry_x,Sector,DividendYield,PayoutRatio,IndustryMapped,Industry_y,NetMargin
LNT,Alliant Energy Corporation,Utilities - Regulated Electric,Utilities,2.82,0.6465,Utility (General),Utility (General),0.0778810584390676
ALL,Allstate Corporation (The),Insurance - Property & Casualty,Financial Services,2.09,0.105100006,Insurance (Prop/Cas.),Insurance (Prop/Cas.),0.1082478464437557
GOOGL,Alphabet Inc.,Internet Content & Information,Communication Services,0.28,0.076799996,Software (Internet),Software (Internet),0.0348328046453678
GOOG,Alphabet Inc.,Internet Content & Information,Communication Services,0.29,0.076799996,Software (Internet),Software (Internet),0.0348328046453678
MO,"Altria Group, Inc.",Tobacco,Consumer Defensive,6.45,1.0097001,Tobacco,Tobacco,0.1922012745010309
AMZN,"Amazon.com, Inc.",Internet Retail,Consumer Cyclical,0.0,0.0,Retail (General),Retail (General),0.0549571669053718
AMCR,Amcor plc,Packaging & Containers,Consumer Cyclical,6.51,1.9267,Packaging & Container,Packaging & Container,0.0429211118098205
AEE,Ameren Corporation,Utilities - Regulated Electric,Utilities,2.69,0.53080004,Utility (General),Utility (General),0.0778810584390676
AEP,American Electric Power Company,Utilities - Regulated Electric,Utilities,2.86,0.56159997,Utility (General),Utility (General),0.0778810584390676
AXP,American Express Company,Credit Services,Financial Services,1.27,0.2133,Financial Svcs. (Non-bank & Insurance),Financial Svcs. (Non-bank & Insurance),0.2338404539404498
AIG,"American International Group, I",Insurance - Diversified,Financial Services,2.39,0.3223,Insurance (General),Insurance (General),0.0889834173062861
AMT,American Tower Corporation (REI,REIT - Specialty,Real Estate,3.97,1.2593,R.E.I.T.,R.E.I.T.,0.1953228821605013
AWK,"American Water Works Company, I",Utilities - Regulated Water,Utilities,2.4,0.5707,Utility (Water),Utility (Water),0.1484363249076136
AMP,"Ameriprise Financial, Inc.",Asset Management,Financial Services,1.47,0.1731,Investments & Asset Management,Investments & Asset Management,0.1714716416713332
AME,"AMETEK, Inc.",Specialty Industrial Machinery,Industrials,0.62,0.19379999,Machinery,Machinery,0.0730366433266519
AMGN,Amgen Inc.,Drug Manufacturers - General,Healthcare,2.9,0.669,Drugs (Pharmaceutical),Drugs (Pharmaceutical),0.1448971925945506
APH,Amphenol Corporation,Electronic Components,Technology,0.78,0.22309999,Electronics (General),Electronics (General),0.0490046245014738
ADI,"Analog Devices, Inc.",Semiconductors,Technology,1.28,0.7239,Semiconductor,Semiconductor,0.2332283405775086
AON,Aon plc,Insurance Brokers,Financial Services,0.92,0.171,Insurance (General),Insurance (General),0.0889834173062861
APA,APA Corporation,Oil & Gas E&P,Energy,2.38,0.25059998,Oil/Gas (Production and Exploration),Oil/Gas (Production and Exploration),0.1571861437725601
APO,"Apollo Global Management, Inc. ",Asset Management,Financial Services,1.91,0.35970002,Investments & Asset Management,Investments & Asset Management,0.1714716416713332
AAPL,Apple Inc.,Consumer Electronics,Technology,0.41,0.1304,Electronics (Consumer & Office),Electronics (Consumer & Office),0.0432535201899062
AMAT,"Applied Materials, Inc.",Semiconductor Equipment & Materials,Technology,0.61,0.1826,Semiconductor Equip,Semiconductor Equip,0.157353960719727
APP,Applovin Corporation,Advertising Agencies,Communication Services,0.0,0.0,Advertising,Advertising,0.0138633425611893
APTV,Aptiv PLC,Auto Parts,Consumer Cyclical,0.0,0.0,Auto Parts,Auto Parts,0.0289843197164109
ACGL,Arch Capital Group Ltd.,Insurance - Diversified,Financial Services,0.0,0.0,Insurance (General),Insurance (General),0.0889834173062861
ADM,Archer-Daniels-Midland Company,Farm Products,Consumer Defensive,2.82,0.91480005,Farming/Agriculture,Farming/Agriculture,0.0409804121382642
ARES,Ares Management Corporation,Asset Management,Financial Services,5.27,2.6199,Investments & Asset Management,Investments & Asset Management,0.1714716416713332
ANET,"Arista Networks, Inc.",Computer Hardware,Technology,0.0,0.0,Computers/Peripherals,Computers/Peripherals,0.1021760231059991
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,Financial Services,1.29,0.45299998,Insurance (General),Insurance (General),0.0889834173062861
AIZ,"Assurant, Inc.",Insurance - Property & Casualty,Financial Services,1.54,0.19370002,Insurance (Prop/Cas.),Insurance (Prop/Cas.),0.1082478464437557
T,AT&T Inc.,Telecom Services,Communication Services,3.92,0.2738,Telecom. Services,Telecom. Services,0.0943233187080034
ATO,Atmos Energy Corporation,Utilities - Regulated Gas,Utilities,2.12,0.4707,Utility (General),Utility (General),0.0778810584390676
ADSK,"Autodesk, Inc.",Software - Application,Technology,0.0,0.0,Software (System & Application),Software (System & Application),0.2082623086514781
ADP,"Automatic Data Processing, Inc.",Software - Application,Technology,3.33,0.6071,Software (System & Application),Software (System & Application),0.2082623086514781
AZO,"AutoZone, Inc.",Auto Parts,Consumer Cyclical,0.0,0.0,Auto Parts,Auto Parts,0.0289843197164109
AVB,"AvalonBay Communities, Inc.",REIT - Residential,Real Estate,4.29,0.94589996,R.E.I.T.,R.E.I.T.,0.1953228821605013
AVY,Avery Dennison Corporation,Packaging & Containers,Consumer Cyclical,2.19,0.4209,Packaging & Container,Packaging & Container,0.0429211118098205
AXON,"Axon Enterprise, Inc.",Aerospace & Defense,Industrials,0.0,0.0,Aerospace/Defense,Aerospace/Defense,0.0665426613246422
BKR,Baker Hughes Company,Oil & Gas Equipment & Services,Energy,1.52,0.3538,Oilfield Svcs/Equip.,Oilfield Svcs/Equip.,0.0280299033502358
BALL,Ball Corporation,Packaging & Containers,Consumer Cyclical,1.33,0.24239999,Packaging & Container,Packaging & Container,0.0429211118098205
BAC,Bank of America Corporation,Banks - Diversified,Financial Services,2.27,0.28350002,Bank (Money Center),Bank (Money Center),0.3491925322792411
BAX,Baxter International Inc.,Medical Instruments & Supplies,Healthcare,2.16,3.0769,Healthcare Products,Healthcare Products,0.0875149392042817
BDX,"Becton, Dickinson and Company",Medical Instruments & Supplies,Healthcare,2.72,0.6814,Healthcare Products,Healthcare Products,0.0875149392042817
BRK-B,Berkshire Hathaway Inc. New,Insurance - Diversified,Financial Services,0.0,0.0,Insurance (General),Insurance (General),0.0889834173062861
BBY,"Best Buy Co., Inc.",Specialty Retail,Consumer Cyclical,5.95,0.754,Retail (Special Lines),Retail (Special Lines),0.0456977107490382
TECH,Bio-Techne Corp,Biotechnology,Healthcare,0.6,0.6038,Drugs (Biotechnology),Drugs (Biotechnology),-0.0368884917379637
BIIB,Biogen Inc.,Drug Manufacturers - General,Healthcare,0.0,0.0,Drugs (Pharmaceutical),Drugs (Pharmaceutical),0.1448971925945506
BLK,"BlackRock, Inc.",Asset Management,Financial Services,2.37,0.5902,Investments & Asset Management,Investments & Asset Management,0.1714716416713332
BX,Blackstone Inc.,Asset Management,Financial Services,4.19,1.2119,Investments & Asset Management,Investments & Asset Management,0.1714716416713332
XYZ,"Block, Inc.",Software - Infrastructure,Technology,0.0,0.0,Computer Services,Computer Services,0.0531640739693299
BK,The Bank of New York Mellon Cor,Banks - Diversified,Financial Services,1.74,0.2703,Bank (Money Center),Bank (Money Center),0.3491925322792411
BA,Boeing Company (The),Aerospace & Defense,Industrials,0.0,0.0,Aerospace/Defense,Aerospace/Defense,0.0665426613246422
BKNG,Booking Holdings Inc. Common St,Travel Services,Consumer Cyclical,0.94,0.2319,Recreation,Recreation,0.0245947534270305
BSX,Boston Scientific Corporation,Medical Devices,Healthcare,0.0,0.0,Healthcare Products,Healthcare Products,0.0875149392042817
BMY,Bristol-Myers Squibb Company,Drug Manufacturers - General,Healthcare,4.23,0.71970004,Drugs (Pharmaceutical),Drugs (Pharmaceutical),0.1448971925945506
AVGO,Broadcom Inc.,Semiconductors,Technology,0.83,0.47169998,Semiconductor,Semiconductor,0.2332283405775086
BR,"Broadridge Financial Solutions,",Information Technology Services,Technology,2.42,0.4104,Information Services,Information Services,0.063456130768009
BRO,"Brown & Brown, Inc.",Insurance Brokers,Financial Services,0.96,0.19459999,Insurance (General),Insurance (General),0.0889834173062861
BF-B,Brown Forman Inc,Beverages - Wineries & Distilleries,Consumer Defensive,3.42,0.5294,Beverage (Alcoholic),Beverage (Alcoholic),0.12458699782696
BLDR,"Builders FirstSource, Inc.",Building Products & Equipment,Industrials,0.0,0.0,Building Materials,Building Materials,0.0652647808244452
BG,Bunge Limited,Farm Products,Consumer Defensive,2.16,0.5639,Farming/Agriculture,Farming/Agriculture,0.0409804121382642
BXP,"BXP, Inc.",REIT - Office,Real Estate,5.95,1.9310001,R.E.I.T.,R.E.I.T.,0.1953228821605013
CHRW,"C.H. Robinson Worldwide, Inc.",Integrated Freight & Logistics,Industrials,1.5,0.5155,Transportation,Transportation,0.0512380428450328
CDNS,"Cadence Design Systems, Inc.",Software - Application,Technology,0.0,0.0,Software (System & Application),Software (System & Application),0.2082623086514781
CPT,Camden Property Trust,REIT - Residential,Real Estate,4.21,1.1863999,R.E.I.T.,R.E.I.T.,0.1953228821605013
CPB,The Campbell's Company,Packaged Foods,Consumer Defensive,7.08,0.8478,Food Processing,Food Processing,0.0465376544493767
COF,Capital One Financial Corporati,Credit Services,Financial Services,1.76,0.77379996,Financial Svcs. (Non-bank & Insurance),Financial Svcs. (Non-bank & Insurance),0.2338404539404498
CAH,"Cardinal Health, Inc.",Medical Distribution,Healthcare,0.95,0.2932,Healthcare Support Services,Healthcare Support Services,0.0133728749876677
CCL,Carnival Corporation,Travel Services,Consumer Cyclical,0.59,0.0661,Recreation,Recreation,0.0245947534270305
CARR,Carrier Global Corporation,Building Products & Equipment,Industrials,1.72,0.5325,Building Materials,Building Materials,0.0652647808244452
CVNA,Carvana Co.,Auto & Truck Dealerships,Consumer Cyclical,0.0,0.0,Retail (Automotive),Retail (Automotive),0.0207934059259504
CAT,"Caterpillar, Inc.",Farm & Heavy Construction Machinery,Industrials,0.84,0.3105,Machinery,Machinery,0.0730366433266519
CBOE,"Cboe Global Markets, Inc.",Financial Data & Stock Exchanges,Financial Services,0.96,0.2591,Brokerage & Investment Banking,Brokerage & Investment Banking,0.1524055900547343
CBRE,CBRE Group Inc,Real Estate Services,Real Estate,0.0,0.0,Real Estate (Operations & Services),Real Estate (Operations & Services),0.10571173389663
CDW,CDW Corporation,Information Technology Services,Technology,2.07,0.31,Information Services,Information Services,0.063456130768009
COR,"Cencora, Inc.",Medical Distribution,Healthcare,0.74,0.2701,Healthcare Support Services,Healthcare Support Services,0.0133728749876677
CNC,Centene Corporation,Healthcare Plans,Healthcare,0.0,0.0,Healthcare Support Services,Healthcare Support Services,0.0133728749876677
CNP,"CenterPoint Energy, Inc (Holdin",Utilities - Regulated Electric,Utilities,2.1,0.55,Utility (General),Utility (General),0.0778810584390676
CF,"CF Industries Holdings, Inc.",Agricultural Inputs,Basic Materials,1.54,0.22299999,Chemical (Basic),Chemical (Basic),-0.0036335503198836
CRL,Charles River Laboratories Inte,Diagnostics & Research,Healthcare,0.0,0.0,Healthcare Support Services,Healthcare Support Services,0.0133728749876677
SCHW,Charles Schwab Corporation (The,Capital Markets,Financial Services,1.37,0.2323,Brokerage & Investment Banking,Brokerage & Investment Banking,0.1524055900547343
CHTR,"Charter Communications, Inc.",Telecom Services,Communication Services,0.0,0.0,Telecom. Services,Telecom. Services,0.0943233187080034
CVX,Chevron Corporation,Oil & Gas Integrated,Energy,3.58,1.0317,Oil/Gas (Integrated),Oil/Gas (Integrated),0.0747580271652587
CMG,"Chipotle Mexican Grill, Inc.",Restaurants,Consumer Cyclical,0.0,0.0,Restaurant/Dining,Restaurant/Dining,0.0540521790933082
CB,Chubb Limited,Insurance - Property & Casualty,Financial Services,1.18,0.1488,Insurance (Prop/Cas.),Insurance (Prop/Cas.),0.1082478464437557
CHD,"Church & Dwight Company, Inc.",Household & Personal Products,Consumer Defensive,1.32,0.39069998,Household Products,Household Products,0.094585056896574
CIEN,Ciena Corporation,Communication Equipment,Technology,0.0,0.0,Telecom. Equipment,Telecom. Equipment,0.0848934719408901
CI,The Cigna Group,Healthcare Plans,Healthcare,2.31,0.2723,Healthcare Support Services,Healthcare Support Services,0.0133728749876677
CINF,Cincinnati Financial Corporatio,Insurance - Property & Casualty,Financial Services,2.24,0.22940001,Insurance (Prop/Cas.),Insurance (Prop/Cas.),0.1082478464437557
CTAS,Cintas Corporation,Specialty Business Services,Industrials,1.03,0.3671,Business & Consumer Services,Business & Consumer Services,0.0583382792580931
CSCO,"Cisco Systems, Inc.",Communication Equipment,Technology,2.13,0.5899,Telecom. Equipment,Telecom. Equipment,0.0848934719408901
C,"Citigroup, Inc.",Banks - Diversified,Financial Services,2.08,0.3319,Bank (Money Center),Bank (Money Center),0.3491925322792411
CFG,"Citizens Financial Group, Inc.",Banks - Regional,Financial Services,3.02,0.4456,Banks (Regional),Banks (Regional),0.3031003995191074
CLX,Clorox Company (The),Household & Personal Products,Consumer Defensive,4.9,0.8052,Household Products,Household Products,0.094585056896574
CME,CME Group Inc.,Financial Data & Stock Exchanges,Financial Services,1.7,0.44799998,Brokerage & Investment Banking,Brokerage & Investment Banking,0.1524055900547343
CMS,CMS Energy Corporation,Utilities - Regulated Electric,Utilities,2.9,0.6156,Utility (General),Utility (General),0.0778810584390676
KO,Coca-Cola Company (The),Beverages - Non-Alcoholic,Consumer Defensive,2.69,0.6711,Beverage (Soft),Beverage (Soft),0.114660876809851
CTSH,Cognizant Technology Solutions ,Information Technology Services,Technology,2.11,0.2719,Information Services,Information Services,0.063456130768009
COHR,Coherent Corp.,Scientific & Technical Instruments,Technology,0.0,0.0,Office Equipment & Services,Office Equipment & Services,0.0442518323922391
COIN,"Coinbase Global, Inc.",Financial Data & Stock Exchanges,Financial Services,0.0,0.0,Brokerage & Investment Banking,Brokerage & Investment Banking,0.1524055900547343
CL,Colgate-Palmolive Company,Household & Personal Products,Consumer Defensive,2.49,0.78330004,Household Products,Household Products,0.094585056896574
CMCSA,Comcast Corporation,Telecom Services,Communication Services,4.73,0.18370001,Telecom. Services,Telecom. Services,0.0943233187080034
FIX,"Comfort Systems USA, Inc.",Engineering & Construction,Industrials,0.16,0.0675,Engineering/Construction,Engineering/Construction,0.0334663331515941
CAG,"ConAgra Brands, Inc.",Packaged Foods,Consumer Defensive,8.91,0.791,Food Processing,Food Processing,0.0465376544493767
COP,ConocoPhillips,Oil & Gas E&P,Energy,2.57,0.5008,Oil/Gas (Production and Exploration),Oil/Gas (Production and Exploration),0.1571861437725601
ED,"Consolidated Edison, Inc.",Utilities - Regulated Electric,Utilities,2.98,0.6028,Utility (General),Utility (General),0.0778810584390676
STZ,"Constellation Brands, Inc.",Beverages - Brewers,Consumer Defensive,2.7,0.6389,Beverage (Alcoholic),Beverage (Alcoholic),0.12458699782696
CEG,Constellation Energy Corporatio,Utilities - Independent Power Producers,Utilities,0.63,0.20959999,Power,Power,0.0822149828240588
COO,"The Cooper Companies, Inc.",Medical Instruments & Supplies,Healthcare,0.0,0.0,Healthcare Products,Healthcare Products,0.0875149392042817
CPRT,"Copart, Inc.",Specialty Business Services,Industrials,0.0,0.0,Business & Consumer Services,Business & Consumer Services,0.0583382792580931
GLW,Corning Incorporated,Electronic Components,Technology,0.76,0.612,Electronics (General),Electronics (General),0.0490046245014738
CPAY,"Corpay, Inc.",Software - Infrastructure,Technology,0.0,0.0,Computer Services,Computer Services,0.0531640739693299
CTVA,"Corteva, Inc.",Agricultural Inputs,Basic Materials,0.84,0.4,Chemical (Basic),Chemical (Basic),-0.0036335503198836
CSGP,"CoStar Group, Inc.",Real Estate Services,Real Estate,0.0,0.0,Real Estate (Operations & Services),Real Estate (Operations & Services),0.10571173389663
COST,Costco Wholesale Corporation,Discount Stores,Consumer Defensive,0.51,0.27040002,Retail (General),Retail (General),0.0549571669053718
CTRA,Coterra Energy Inc.,Oil & Gas E&P,Energy,2.55,0.39290002,Oil/Gas (Production and Exploration),Oil/Gas (Production and Exploration),0.1571861437725601
CRH,CRH PLC,Building Materials,Basic Materials,1.43,0.26860002,Building Materials,Building Materials,0.0652647808244452
CRWD,"CrowdStrike Holdings, Inc.",Software - Infrastructure,Technology,0.0,0.0,Computer Services,Computer Services,0.0531640739693299
CCI,Crown Castle Inc.,REIT - Specialty,Real Estate,5.01,1.8859,R.E.I.T.,R.E.I.T.,0.1953228821605013
CSX,CSX Corporation,Railroads,Industrials,1.36,0.3377,Transportation (Railroads),Transportation (Railroads),0.156730585595564
CMI,Cummins Inc.,Specialty Industrial Machinery,Industrials,1.42,0.3727,Machinery,Machinery,0.0730366433266519
CVS,CVS Health Corporation,Healthcare Plans,Healthcare,3.62,1.9137,Healthcare Support Services,Healthcare Support Services,0.0133728749876677
DHR,Danaher Corporation,Diagnostics & Research,Healthcare,0.84,0.2545,Healthcare Support Services,Healthcare Support Services,0.0133728749876677
DRI,"Darden Restaurants, Inc.",Restaurants,Consumer Cyclical,3.06,0.6217,Restaurant/Dining,Restaurant/Dining,0.0540521790933082
DDOG,"Datadog, Inc.",Software - Application,Technology,0.0,0.0,Software (System & Application),Software (System & Application),0.2082623086514781
DVA,DaVita Inc.,Medical Care Facilities,Healthcare,0.0,0.0,Hospitals/Healthcare Facilities,Hospitals/Healthcare Facilities,0.0598580650052351
DECK,Deckers Outdoor Corporation,Footwear & Accessories,Consumer Cyclical,0.0,0.0,Shoe,Shoe,0.0581794592055374
DE,Deere & Company,Farm & Heavy Construction Machinery,Industrials,1.13,0.3655,Machinery,Machinery,0.0730366433266519
DELL,Dell Technologies Inc.,Computer Hardware,Technology,1.45,0.24190001,Computers/Peripherals,Computers/Peripherals,0.1021760231059991
DAL,"Delta Air Lines, Inc.",Airlines,Industrials,1.12,0.0881,Air Transport,Air Transport,0.0490659956299534
DVN,Devon Energy Corporation,Oil & Gas E&P,Energy,1.94,0.23020001,Oil/Gas (Production and Exploration),Oil/Gas (Production and Exploration),0.1571861437725601
DXCM,"DexCom, Inc.",Medical Devices,Healthcare,0.0,0.0,Healthcare Products,Healthcare Products,0.0875149392042817
FANG,"Diamondback Energy, Inc.",Oil & Gas E&P,Energy,2.17,0.6981,Oil/Gas (Production and Exploration),Oil/Gas (Production and Exploration),0.1571861437725601
DLR,"Digital Realty Trust, Inc.",REIT - Specialty,Real Estate,2.69,1.3630999,R.E.I.T.,R.E.I.T.,0.1953228821605013
DG,Dollar General Corporation,Discount Stores,Consumer Defensive,1.97,0.3445,Retail (General),Retail (General),0.0549571669053718
DLTR,"Dollar Tree, Inc.",Discount Stores,Consumer Defensive,0.0,0.0,Retail (General),Retail (General),0.0549571669053718
D,"Dominion Energy, Inc.",Utilities - Regulated Electric,Utilities,4.25,0.76949996,Utility (General),Utility (General),0.0778810584390676
DPZ,Domino's Pizza Inc,Restaurants,Consumer Cyclical,2.15,0.3961,Restaurant/Dining,Restaurant/Dining,0.0540521790933082
DASH,"DoorDash, Inc.",Internet Retail,Consumer Cyclical,0.0,0.0,Retail (General),Retail (General),0.0549571669053718
DOV,Dover Corporation,Specialty Industrial Machinery,Industrials,1.01,0.2597,Machinery,Machinery,0.0730366433266519
DHI,"D.R. Horton, Inc.",Residential Construction,Consumer Cyclical,1.29,0.15010001,Homebuilding,Homebuilding,0.073044337429961
DTE,DTE Energy Company,Utilities - Regulated Electric,Utilities,3.05,0.6309,Utility (General),Utility (General),0.0778810584390676
DUK,Duke Energy Corporation (Holdin,Utilities - Regulated Electric,Utilities,3.22,0.6688,Utility (General),Utility (General),0.0778810584390676
ETN,"Eaton Corporation, PLC",Specialty Industrial Machinery,Industrials,1.22,0.39810002,Machinery,Machinery,0.0730366433266519
EBAY,eBay Inc.,Internet Retail,Consumer Cyclical,1.32,0.2723,Retail (General),Retail (General),0.0549571669053718
SATS,EchoStar Corporation,Telecom Services,Communication Services,0.0,0.0,Telecom. Services,Telecom. Services,0.0943233187080034
ECL,Ecolab Inc.,Specialty Chemicals,Basic Materials,1.04,0.36810002,Chemical (Specialty),Chemical (Specialty),0.0638249227197686
EIX,Edison International,Utilities - Regulated Electric,Utilities,4.78,0.2909,Utility (General),Utility (General),0.0778810584390676
EW,Edwards Lifesciences Corporatio,Medical Devices,Healthcare,0.0,0.0,Healthcare Products,Healthcare Products,0.0875149392042817
EA,Electronic Arts Inc.,Electronic Gaming & Multimedia,Communication Services,0.37,0.2846,Software (Entertainment),Software (Entertainment),0.2827288228497892
ELV,"Elevance Health, Inc.",Healthcare Plans,Healthcare,2.29,0.2713,Healthcare Support Services,Healthcare Support Services,0.0133728749876677
EME,"EMCOR Group, Inc.",Engineering & Construction,Industrials,0.21,0.0355,Engineering/Construction,Engineering/Construction,0.0334663331515941
EMR,Emerson Electric Company,Specialty Industrial Machinery,Industrials,1.69,0.5239,Machinery,Machinery,0.0730366433266519
ETR,Entergy Corporation,Utilities - Regulated Electric,Utilities,2.16,0.624,Utility (General),Utility (General),0.0778810584390676
EOG,"EOG Resources, Inc.",Oil & Gas E&P,Energy,2.86,0.4326,Oil/Gas (Production and Exploration),Oil/Gas (Production and Exploration),0.1571861437725601
EPAM,"EPAM Systems, Inc.",Information Technology Services,Technology,0.0,0.0,Information Services,Information Services,0.063456130768009
EQT,EQT Corporation,Oil & Gas E&P,Energy,1.11,0.1926,Oil/Gas (Production and Exploration),Oil/Gas (Production and Exploration),0.1571861437725601
EFX,"Equifax, Inc.",Consulting Services,Industrials,1.13,0.35529998,Business & Consumer Services,Business & Consumer Services,0.0583382792580931
EQIX,"Equinix, Inc.",REIT - Specialty,Real Estate,1.92,1.3634,R.E.I.T.,R.E.I.T.,0.1953228821605013
EQR,Equity Residential,REIT - Residential,Real Estate,4.66,0.9435,R.E.I.T.,R.E.I.T.,0.1953228821605013
ERIE,Erie Indemnity Company,Insurance Brokers,Financial Services,2.34,0.5199,Insurance (General),Insurance (General),0.0889834173062861
ESS,"Essex Property Trust, Inc.",REIT - Residential,Real Estate,4.16,0.9885,R.E.I.T.,R.E.I.T.,0.1953228821605013
EL,"Estee Lauder Companies, Inc. (T",Household & Personal Products,Consumer Defensive,2.03,4.7143,Household Products,Household Products,0.094585056896574
EG,"Everest Group, Ltd.",Insurance - Reinsurance,Financial Services,2.45,0.2116,Reinsurance,Reinsurance,0.0915751587214578
EVRG,"Evergy, Inc.",Utilities - Regulated Electric,Utilities,3.36,0.737,Utility (General),Utility (General),0.0778810584390676
ES,Eversource Energy (D/B/A),Utilities - Regulated Electric,Utilities,4.53,0.66010004,Utility (General),Utility (General),0.0778810584390676
EXC,Exelon Corporation,Utilities - Regulated Electric,Utilities,3.41,0.5861,Utility (General),Utility (General),0.0778810584390676
EXE,Expand Energy Corporation,Oil & Gas E&P,Energy,3.07,0.42139998,Oil/Gas (Production and Exploration),Oil/Gas (Production and Exploration),0.1571861437725601
EXPE,"Expedia Group, Inc.",Travel Services,Consumer Cyclical,0.75,0.16309999,Recreation,Recreation,0.0245947534270305
EXPD,Expeditors International of Was,Integrated Freight & Logistics,Industrials,1.06,0.2588,Transportation,Transportation,0.0512380428450328
EXR,Extra Space Storage Inc,REIT - Industrial,Real Estate,4.84,1.4117999,R.E.I.T.,R.E.I.T.,0.1953228821605013
XOM,Exxon Mobil Corporation,Oil & Gas Integrated,Energy,2.56,0.597,Oil/Gas (Integrated),Oil/Gas (Integrated),0.0747580271652587
FFIV,"F5, Inc.",Software - Infrastructure,Technology,0.0,0.0,Computer Services,Computer Services,0.0531640739693299
FDS,FactSet Research Systems Inc.,Financial Data & Stock Exchanges,Financial Services,1.93,0.2831,Brokerage & Investment Banking,Brokerage & Investment Banking,0.1524055900547343
FICO,Fair Isaac Corporation,Software - Application,Technology,0.0,0.0,Software (System & Application),Software (System & Application),0.2082623086514781
FAST,Fastenal Company,Industrial Distribution,Industrials,1.94,0.8028,Retail (Distributors),Retail (Distributors),0.037896059214654
FRT,Federal Realty Investment Trust,REIT - Retail,Real Estate,4.2,0.953,R.E.I.T.,R.E.I.T.,0.1953228821605013
FDX,FedEx Corporation,Integrated Freight & Logistics,Industrials,1.6,0.3059,Transportation,Transportation,0.0512380428450328
FIS,Fidelity National Information S,Information Technology Services,Technology,3.54,2.1917999,Information Services,Information Services,0.063456130768009
FITB,Fifth Third Bancorp,Banks - Regional,Financial Services,3.4,0.4363,Banks (Regional),Banks (Regional),0.3031003995191074
FSLR,"First Solar, Inc.",Solar,Technology,0.0,0.0,Green & Renewable Energy,Green & Renewable Energy,0.1086474827287092
FE,FirstEnergy Corp.,Utilities - Regulated Electric,Utilities,3.63,1.0,Utility (General),Utility (General),0.0778810584390676
F,Ford Motor Company,Auto Manufacturers,Consumer Cyclical,5.17,0.641,Auto & Truck,Auto & Truck,0.0307624289711712
FTNT,"Fortinet, Inc.",Software - Infrastructure,Technology,0.0,0.0,Computer Services,Computer Services,0.0531640739693299
FTV,Fortive Corporation,Scientific & Technical Instruments,Technology,0.46,0.1761,Office Equipment & Services,Office Equipment & Services,0.0442518323922391
FOXA,Fox Corporation,Entertainment,Communication Services,0.96,0.1319,Entertainment,Entertainment,0.0519573206938368
FOX,Fox Corporation,Entertainment,Communication Services,1.06,0.1319,Entertainment,Entertainment,0.0519573206938368
BEN,"Franklin Resources, Inc.",Asset Management,Financial Services,5.64,1.1944001,Investments & Asset Management,Investments & Asset Management,0.1714716416713332
FCX,"Freeport-McMoRan, Inc.",Copper,Basic Materials,0.98,0.39470002,Metals & Mining,Metals & Mining,0.0483330496264696
GRMN,Garmin Ltd.,Scientific & Technical Instruments,Technology,1.77,0.4016,Office Equipment & Services,Office Equipment & Services,0.0442518323922391
IT,"Gartner, Inc.",Information Technology Services,Technology,0.0,0.0,Information Services,Information Services,0.063456130768009
GE,GE Aerospace,Aerospace & Defense,Industrials,0.67,0.17889999,Aerospace/Defense,Aerospace/Defense,0.0665426613246422
