Ticker,Company,Industry,DamodaranIndustry,Sector,DividendYield,PayoutRatio
IBKR,"Interactive Brokers Group, Inc.",Capital Markets,Brokerage & Investment Banking,Financial Services,0.47,0.1363
ICE,Intercontinental Exchange Inc.,Financial Data & Stock Exchanges,Brokerage & Investment Banking,Financial Services,1.28,0.3328
IFF,International Flavors & Fragran,Specialty Chemicals,Chemical (Specialty),Basic Materials,2.21,1.6841999
IP,International Paper Company,Packaging & Containers,Packaging & Container,Consumer Cyclical,5.32,1.5812
INTU,Intuit Inc.,Software - Application,Software (System & Application),Technology,1.1,0.2915
ISRG,"Intuitive Surgical, Inc.",Medical Instruments & Supplies,Healthcare Products,Healthcare,,0.0
IVZ,Invesco Ltd,Asset Management,Investments & Asset Management,Financial Services,3.48,0.5646
INVH,Invitation Homes Inc.,REIT - Residential,R.E.I.T.,Real Estate,4.7,1.2188
IQV,"IQVIA Holdings, Inc.",Diagnostics & Research,Healthcare Support Services,Healthcare,,0.0
IRM,Iron Mountain Incorporated (Del,REIT - Specialty,R.E.I.T.,Real Estate,3.35,6.5694
JBHT,"J.B. Hunt Transport Services, I",Integrated Freight & Logistics,Transportation,Industrials,0.84,0.2876
JBL,Jabil Inc.,Electronic Components,Electronics (General),Technology,0.12,0.0431
JKHY,"Jack Henry & Associates, Inc.",Information Technology Services,Information Services,Technology,1.49,0.33290002
J,Jacobs Solutions Inc.,Engineering & Construction,Engineering/Construction,Industrials,1.12,0.3377
JNJ,Johnson & Johnson,Drug Manufacturers - General,Drugs (Pharmaceutical),Healthcare,2.14,0.466
JCI,Johnson Controls International,Building Products & Equipment,Building Materials,Industrials,1.2,0.5168
JPM,JP Morgan Chase & Co.,Banks - Diversified,Bank (Money Center),Financial Services,2.04,0.2897
KVUE,Kenvue Inc.,Household & Personal Products,Household Products,Consumer Defensive,4.84,1.0855
KDP,Keurig Dr Pepper Inc.,Beverages - Non-Alcoholic,Beverage (Soft),Consumer Defensive,3.63,0.6013
KEY,KeyCorp,Banks - Regional,Banks (Regional),Financial Services,4.01,0.5395
KEYS,Keysight Technologies Inc.,Scientific & Technical Instruments,Office Equipment & Services,Technology,,0.0
KMB,Kimberly-Clark Corporation,Household & Personal Products,Household Products,Consumer Defensive,5.33,1.037
KIM,Kimco Realty Corporation (HC),REIT - Retail,R.E.I.T.,Real Estate,4.6,1.2317
KMI,"Kinder Morgan, Inc.",Oil & Gas Midstream,Oil/Gas Distribution,Energy,3.55,0.85040003
KKR,KKR & Co. Inc.,Asset Management,Investments & Asset Management,Financial Services,0.81,0.312
KLAC,KLA Corporation,Semiconductor Equipment & Materials,Semiconductor Equip,Technology,0.5,0.21540001
KHC,The Kraft Heinz Company,Packaged Foods,Food Processing,Consumer Defensive,7.02,0.7306
KR,Kroger Company (The),Grocery Stores,Retail (Grocery and Food),Consumer Defensive,1.94,0.8701
LHX,"L3Harris Technologies, Inc.",Aerospace & Defense,Aerospace/Defense,Industrials,1.4,0.56270003
LH,Labcorp Holdings Inc.,Diagnostics & Research,Healthcare Support Services,Healthcare,1.05,0.2753
LRCX,Lam Research Corporation,Semiconductor Equipment & Materials,Semiconductor Equip,Technology,0.48,0.20120001
LVS,Las Vegas Sands Corp.,Resorts & Casinos,Hotel/Gaming,Consumer Cyclical,1.93,0.4255
LDOS,"Leidos Holdings, Inc.",Information Technology Services,Information Services,Technology,1.05,0.1463
LEN,Lennar Corporation,Residential Construction,Homebuilding,Consumer Cyclical,2.31,0.2878
LII,"Lennox International, Inc.",Building Products & Equipment,Building Materials,Industrials,1.14,0.2216
LLY,Eli Lilly and Company,Drug Manufacturers - General,Drugs (Pharmaceutical),Healthcare,0.67,0.26139998
LIN,Linde plc,Specialty Chemicals,Chemical (Specialty),Basic Materials,1.27,0.4107
LYV,"Live Nation Entertainment, Inc.",Entertainment,Entertainment,Communication Services,,0.0
LMT,Lockheed Martin Corporation,Aerospace & Defense,Aerospace/Defense,Industrials,2.17,0.62119997
L,Loews Corporation,Insurance - Property & Casualty,Insurance (General),Financial Services,0.23,0.031400003
LOW,"Lowe's Companies, Inc.",Home Improvement Retail,Retail (Building Supply),Consumer Cyclical,2.08,0.40080002
LULU,lululemon athletica inc.,Apparel Retail,Retail (Special Lines),Consumer Cyclical,,0.0
LITE,Lumentum Holdings Inc.,Communication Equipment,Telecom. Equipment,Technology,,0.0
LYB,LyondellBasell Industries NV,Specialty Chemicals,Chemical (Specialty),Basic Materials,6.03,11.468101
MTB,M&T Bank Corporation,Banks - Regional,Banks (Regional),Financial Services,2.85,0.3353
MPC,Marathon Petroleum Corporation,Oil & Gas Refining & Marketing,Oil/Gas Distribution,Energy,1.58,0.2821
MAR,Marriott International,Lodging,Hotel/Gaming,Consumer Cyclical,0.81,0.2776
MRSH,Marsh,Insurance Brokers,Insurance (General),Financial Services,2.06,0.4069
MLM,"Martin Marietta Materials, Inc.",Building Materials,Building Materials,Basic Materials,0.56,0.1983
MAS,Masco Corporation,Building Products & Equipment,Building Materials,Industrials,2.17,0.32119998
MA,Mastercard Incorporated,Credit Services,Insurance (General),Financial Services,0.71,0.184
MKC,"McCormick & Company, Incorporat",Packaged Foods,Food Processing,Consumer Defensive,3.93,0.3
MCD,McDonald's Corporation,Restaurants,Restaurant/Dining,Consumer Cyclical,2.42,0.6
MCK,McKesson Corporation,Medical Distribution,Healthcare Support Services,Healthcare,0.37,0.0883
MDT,Medtronic plc.,Medical Devices,Healthcare Products,Healthcare,3.28,0.79050004
MRK,"Merck & Company, Inc.",Drug Manufacturers - General,Drugs (Pharmaceutical),Healthcare,2.81,0.45049998
META,"Meta Platforms, Inc.",Internet Content & Information,Software (Internet),Communication Services,0.37,0.08939999
MET,"MetLife, Inc.",Insurance - Life,Insurance (General),Financial Services,3.21,0.4772
MTD,"Mettler-Toledo International, I",Diagnostics & Research,Healthcare Support Services,Healthcare,,0.0
MGM,MGM Resorts International,Resorts & Casinos,Hotel/Gaming,Consumer Cyclical,,0.0
MCHP,Microchip Technology Incorporat,Semiconductors,Semiconductor,Technology,2.77,3.1772
MU,"Micron Technology, Inc.",Semiconductors,Semiconductor,Technology,0.16,0.0217
MSFT,Microsoft Corporation,Software - Infrastructure,Computer Services,Technology,0.97,0.21280001
MAA,Mid-America Apartment Communiti,REIT - Residential,R.E.I.T.,Real Estate,4.9,1.6032001
MRNA,"Moderna, Inc.",Biotechnology,Drugs (Biotechnology),Healthcare,,0.0
TAP,Molson Coors Beverage Company,Beverages - Brewers,Beverage (Alcoholic),Consumer Defensive,4.36,0.35900003
MDLZ,"Mondelez International, Inc.",Confectioners,Food Processing,Consumer Defensive,3.48,1.0265
MPWR,"Monolithic Power Systems, Inc.",Semiconductors,Semiconductor,Technology,0.72,0.48520002
MNST,Monster Beverage Corporation,Beverages - Non-Alcoholic,Beverage (Soft),Consumer Defensive,,0.0
MCO,Moody's Corporation,Financial Data & Stock Exchanges,Brokerage & Investment Banking,Financial Services,0.93,0.2751
MS,Morgan Stanley,Capital Markets,Brokerage & Investment Banking,Financial Services,2.41,0.3771
MOS,Mosaic Company (The),Agricultural Inputs,Chemical (Basic),Basic Materials,3.36,0.5176
MSI,"Motorola Solutions, Inc.",Communication Equipment,Telecom. Equipment,Technology,1.1,0.3514
MSCI,MSCI Inc.,Financial Data & Stock Exchanges,Brokerage & Investment Banking,Financial Services,1.51,0.4589
NDAQ,"Nasdaq, Inc.",Financial Data & Stock Exchanges,Brokerage & Investment Banking,Financial Services,1.25,0.3398
NTAP,"NetApp, Inc.",Software - Infrastructure,Computer Services,Technology,2.01,0.349
NFLX,"Netflix, Inc.",Entertainment,Entertainment,Communication Services,,0.0
NEM,Newmont Corporation,Gold,Precious Metals,Basic Materials,0.91,0.1565
NWSA,News Corporation,Entertainment,Entertainment,Communication Services,0.82,0.2597
NWS,News Corporation,Entertainment,Entertainment,Communication Services,0.71,0.2597
NEE,"NextEra Energy, Inc.",Utilities - Regulated Electric,Utility (General),Utilities,2.68,0.6867
NKE,"Nike, Inc.",Footwear & Accessories,Shoe,Consumer Cyclical,3.71,1.0658001
NI,NiSource Inc,Utilities - Regulated Gas,Utility (General),Utilities,2.53,0.5744
NDSN,Nordson Corporation,Specialty Industrial Machinery,Machinery,Industrials,1.25,0.3463
NSC,Norfolk Southern Corporation,Railroads,Transportation (Railroads),Industrials,1.88,0.42349997
NTRS,Northern Trust Corporation,Asset Management,Investments & Asset Management,Financial Services,2.21,0.3547
NOC,Northrop Grumman Corporation,Aerospace & Defense,Aerospace/Defense,Industrials,1.32,0.3091
NCLH,Norwegian Cruise Line Holdings,Travel Services,Recreation,Consumer Cyclical,,0.0
NRG,"NRG Energy, Inc.",Utilities - Independent Power Producers,Utility (General),Utilities,1.24,0.4389
NUE,Nucor Corporation,Steel,Steel,Basic Materials,1.3,0.29389998
NVDA,NVIDIA Corporation,Semiconductors,Semiconductor,Technology,0.02,0.0082
NVR,"NVR, Inc.",Residential Construction,Homebuilding,Consumer Cyclical,,0.0
NXPI,NXP Semiconductors N.V.,Semiconductors,Semiconductor,Technology,2.08,0.5102
ORLY,"O'Reilly Automotive, Inc.",Auto Parts,Auto Parts,Consumer Cyclical,,0.0
OXY,Occidental Petroleum Corporatio,Oil & Gas E&P,Oil/Gas (Production and Exploration),Energy,1.65,0.7111
ODFL,"Old Dominion Freight Line, Inc.",Trucking,Trucking,Industrials,0.59,0.2314
OMC,Omnicom Group Inc.,Advertising Agencies,Advertising,Communication Services,4.28,0.413
ON,ON Semiconductor Corporation,Semiconductors,Semiconductor,Technology,,0.0
